Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
7/23/2016,14.4,4619.5511,6093,,
7/24/2016,12.63,4498.6015,5937,,
7/25/2016,13.84,4353.0916,6030,,
7/26/2016,12.08,4147.0192,5809,,
7/27/2016,13.05,3975.9477,6175,,
7/28/2016,12.87,4230.6929,6081,,
7/29/2016,12.87,4137.8516,5979,,
7/30/2016,12.57,4057.8986,5981,,
7/31/2016,11.86,4120.2423,6029,,
8/1/2016,11.04,4033.4068,5961,,
8/2/2016,8.3,3736.2769,5894,,
8/3/2016,10.42,3614.2588,5984,,
8/4/2016,11.21,3936.9981,6192,,
8/5/2016,11.05,4031.1962,6065,,
8/6/2016,10.95,3924.4177,5978,,
8/7/2016,10.98,4058.0205,6077,,
8/8/2016,11.29,4136.7742,6059,,
8/9/2016,12.22,4353.1675,6130,,
8/10/2016,12.22,4442.4061,6054,,
8/11/2016,11.68,4538.8823,6068,,
8/12/2016,11.78,4529.4509,6014,,
8/13/2016,11.56,4479.0387,6032,,
8/14/2016,11.21,4488.9892,6034,,
8/15/2016,11.21,4512.4457,6090,,
8/16/2016,11.17,4623.2492,6054,,
8/17/2016,10.77,4616.8304,6009,,
8/18/2016,10.77,4717.6488,6100,,
8/19/2016,10.71,4666.3602,6014,,
8/20/2016,11.28,4807.7401,6055,,
8/21/2016,11.14,4860.5322,6084,,
8/22/2016,11.07,4890.1286,6078,,
8/23/2016,11.01,4980.5674,6015,,
8/24/2016,11.01,4968.8061,6053,,
8/25/2016,11.35,5076.846,6094,,
8/26/2016,11.26,5242.0628,6006,,
8/27/2016,11.19,5241.1926,6076,,
8/28/2016,10.99,5174.1701,6035,,
8/29/2016,10.95,5110.3024,6014,,
8/30/2016,11.21,5104.6336,6026,,
8/31/2016,11.55,5212.9746,6073,,
9/1/2016,12.21,5264.4573,5989,,
9/2/2016,12.08,5339.3071,6088,,
9/3/2016,11.85,5064.514,5949,,
9/4/2016,11.71,4925.8701,6023,,
9/5/2016,11.75,5116.8905,6076,,
9/6/2016,11.7,5066.0973,5993,,
9/7/2016,11.59,5193.0105,6118,,
9/8/2016,11.39,5135.7331,6016,,
9/9/2016,11.72,5165.9252,6074,,
9/10/2016,12.05,5212.7523,5999,,
9/11/2016,11.64,5414.1144,6093,,
9/12/2016,11.89,5397.9619,6063,,
9/13/2016,11.92,5369.0839,6003,,
9/14/2016,11.97,5550.9528,6091,,
9/15/2016,11.96,5538.7187,6031,,
9/16/2016,12.61,5504.7355,6065,,
9/17/2016,12.83,5705.4374,6044,,
9/18/2016,12.39,5038.1328,5598,,
9/19/2016,12.93,5155.0804,6409,,
9/20/2016,14.72,5747.8625,6167,,
9/21/2016,13.72,5918.6443,6062,,
9/22/2016,13.11,5443.359,5746,,
9/23/2016,13.36,5966.6603,6226,,
9/24/2016,12.91,5995.2836,5877,,
9/25/2016,13.05,6227.8531,6267,,
9/26/2016,12.89,5867.8083,5843,,
9/27/2016,13.09,6199.3892,6053,,
9/28/2016,13.3,6242.7931,6106,,
9/29/2016,13.17,6382.9672,6126,,
9/30/2016,13.24,6211.6467,6008,,
10/1/2016,13.21,6435.5312,5780,,
10/2/2016,13.23,6609.1126,6068,,
10/3/2016,13.45,6480.4953,6204,,
10/4/2016,13.32,6618.6976,6077,,
10/5/2016,13.09,6594.0094,5817,,
10/6/2016,12.87,6644.5921,5953,,
10/7/2016,12.68,6417.1224,5887,,
10/8/2016,12.24,6698.4587,6200,,
10/9/2016,12.06,6812.7671,6049,,
10/10/2016,11.74,6857.1214,6041,,
