Date,BTC Price (USD),Hashrate(TH/s)
2014/01/28,747.57,18103.42368
2014/01/29,799.37,17449.08306
2014/01/30,802.5,20066.44552
2014/01/31,800,20066.44552
2014/02/01,819.57,19412.10491
2014/02/02,813.8,21157.01322
2014/02/03,814.34,21157.01322
2014/02/04,800,22283.13349
2014/02/05,778,21761.8906
2014/02/06,781,21761.8906
2014/02/07,707,22804.37638
2014/02/08,710,19676.91905
2014/02/09,680.8,19676.91905
2014/02/10,670,21761.8906
2014/02/11,667.01,21761.8906
2014/02/12,675.1,21761.8906
2014/02/13,672.1,24889.34793
2014/02/14,651.42,23455.92999
2014/02/15,670.29,23455.92999
2014/02/16,642,25824.93977
2014/02/17,626.77,25980.5117
2014/02/18,629.96,25980.5117
2014/02/19,582.7,26602.7994
2014/02/20,566.16,26136.08362
2014/02/21,563,26136.08362
2014/02/22,626.77,28314.09059
2014/02/23,545,28314.09059
2014/02/24,611.05,28314.09059
2014/02/25,585.38,28158.51867
2014/02/26,585.17,28314.09059
2014/02/27,585.21,28314.09059
2014/02/28,571.5,28072.73751
2014/03/01,559.88,28262.41817
2014/03/02,567.48,28262.41817
2014/03/03,677.61,26365.61158
2014/03/04,664.85,30538.58608
2014/03/05,673.28,30538.58608
2014/03/06,621.3,31676.67003
2014/03/07,609,33194.1153
2014/03/08,631.99,33194.1153
2014/03/09,621.99,31297.30871
2014/03/10,622.9,31866.35069
2014/03/11,629.33,31866.35069
2014/03/12,642.61,35706.23191
2014/03/13,636.47,29367.84755
2014/03/14,641.01,29367.84755
2014/03/15,634.94,33382.15765
2014/03/16,624.7,37607.74722
2014/03/17,634.99,37607.74722
2014/03/18,608.41,32748.31921
2014/03/19,590,35283.67296
2014/03/20,611.2,35283.67296
2014/03/21,557,37185.18827
2014/03/22,567.13,43312.29315
2014/03/23,563.01,43312.29315
2014/03/24,580.02,37582.75087
2014/03/25,585.7,39324.9976
2014/03/26,585.79,39324.9976
2014/03/27,503,45547.30735
